run_timestamp,read_time,hand,esp_time_ms,palm_ax_prox,palm_ay_prox,palm_az_prox,palm_yaw_prox,palm_pitch_prox,palm_roll_prox,palm_flex_mcp,palm_flex_pip,palm_yaw_mid,palm_pitch_mid,palm_roll_mid,palm_ax_mid,palm_ay_mid,palm_az_mid,thumb_ax_prox,thumb_ay_prox,thumb_az_prox,thumb_yaw_prox,thumb_pitch_prox,thumb_roll_prox,thumb_flex_mcp,thumb_flex_pip,thumb_yaw_mid,thumb_pitch_mid,thumb_roll_mid,thumb_ax_mid,thumb_ay_mid,thumb_az_mid,index_ax_prox,index_ay_prox,index_az_prox,index_yaw_prox,index_pitch_prox,index_roll_prox,index_flex_mcp,index_flex_pip,index_yaw_mid,index_pitch_mid,index_roll_mid,index_ax_mid,index_ay_mid,index_az_mid,middle_ax_prox,middle_ay_prox,middle_az_prox,middle_yaw_prox,middle_pitch_prox,middle_roll_proflex_pip,middle_yaw_mid,middle_pitch_mid,middle_roll_mid,middle_ax_mid,middle_ay_mid,middle_az_mid,ring_ax_prox,ring_ay_prox,ring_az_prox,ring_yaw_prox,ring_pitch_prox,ring_roll_prox,ring_flex_mcp,ring_flex_pip,ring_yaw_mid,ring_pitch_mid,ring_roll_mid,ring_ax_mid,ring_ay_mid,ring_az_mid,pinky_ax_prox,pinky_ay_prox,pinky_az_prox,pinky_yaw_prox,pinky_pitch_prox,pinky_roll_prox,pinky_flex_mcp,pinky_flex_pip,pinky_yaw_mid,pinky_pitch_mid,pinky_roll_mid,pinky_ax_mid,pinky_ay_mid,pinky_az_mid,middle_roll_prox,middle_flex_mcp,middle_flex_pip,thumb_roll_m_prox,index_pitch_roll_mid,index_ay_mx,middle_az_proll_prox,index_yaw_proxch_mid,middle_mid,index_fmid,middle_yaw_mid_prox,index_ax_,middle_ch_prox,thumb_roll_miprox,index_pitch_proxoll_mid,index_prox,thumb_ax_yaw_prox,thumb_roll_mroll_prox,index_ch_mid,thumb_ox,middle_fl,index_ay_miay_prox,thumb_ax,index_rotch_mid,index_ayox,index_ax_pcp,index_ay_proex_pip,middle_id,mipinky_ax_prox,mipinky_ay_prox,mipinky_az_prox,mipinky_yaw_prox,mipinky_pitch_prox,mipinky_roll_prox,mipinky_flex_mcp,mipinky_flex_pip,mipinky_yaw_mid,mipinky_pitch_mid,mipinky_roll_mid,mipinky_ax_mid,mipinky_ay_mid,mipinky_az_mid,index_rolprox,thumb_roll_ox,middle_ay_tch_prox,thumb_ay_mirox,index_fz_mid,index_ay_px_pip,middle_roll_proaw_mid,middle_flex_pippitch_mid,ring_pitch__mid,index_ay_prid,thumb_ax_rox,middle_aytch_prox,pinky_pitch_midaz_mid,index_ax_pr_mcp,index_yaw_mz_mid,middle_fld,index_flex_md,thumb_az_mex_mcp,index_ax_pro,thumb_roll_mimid,middle_yaw_ex_mcp,thumb_aylex_pip,middle_ax,thumb_ay_midl_prox,middle_yaw_rox,ring_pitex_pip,index__mid
2026-04-01 22:17:18,2026-04-01 22:17:32,Left,184623,0.0,0.0,-0.01,0.03,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,2133,2103,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,984.0,2155.0,0.01,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,,,,,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,2171.0,2267.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1333.0,1453.0,0.0,0.0,0.0,0.0,0.0,0.0,,68.0,2109.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:32,Left,184819,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2135,2103,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2171.0,2267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335.0,1454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,2111.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:32,Left,185019,0.0,0.0,0.0,0.03,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,2133,2102,0.0,0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,984.0,2154.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,-0.02,0.0,,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,2167.0,2265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1335.0,1453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,2109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:33,Left,185611,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2137,2103,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,2155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2173.0,2268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335.0,1455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:33,Left,186007,0.0,-0.01,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,2134,2102,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,984.0,2155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,2172.0,2267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,1335.0,1455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,2109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:34,Left,186209,0.0,0.0,0.0,0.03,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,2135,2102,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,983.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1335.0,1453.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:35,Left,187609,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2135,2101,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2170.0,2266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.0,1453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,2109.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:35,Left,187809,0.0,0.0,0.0,0.03,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.02,0.0,0.0,2136,2103,0.0,0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,983.0,2154.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,,-0.04,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,2169.0,2267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335.0,1455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,2108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:36,Left,188803,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2134,2103,0.0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,2155.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2171.0,2267.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1334.0,1455.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,67.0,2109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:37,Left,189199,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2136,2101,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.0,2155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2173.0,2268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335.0,1454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,2109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:37,Left,189399,0.0,0.0,0.0,0.03,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,2135,2101,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,68.0,2109.0,-0.04,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.01,0.0,0.0,0.0,2167.0,2266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1333.0,1455.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:38,Left,190191,0.0,0.0,0.0,0.03,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.02,0.0,0.0,2134,2103,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,985.0,2155.0,0.01,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.01,-0.02,0.0,,-0.04,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,2169.0,2267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.0,1454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,2108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:38,Left,190387,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2135,2103,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.0,2156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2171.0,2265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1334.0,1454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,2108.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:38,Left,190587,0.0,0.0,0.0,0.03,0,0,0,0,0,0,0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,983,2155,0.01,0,0.0,0.0,0.01,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,-0.02,0.0,,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2171.0,2267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1334.0,1455.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,63.0,2108.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:39,Left,191185,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2135,2103,0.0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.0,2155.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2172.0,2267.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1334.0,1455.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,63.0,2108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:17:18,2026-04-01 22:17:39,Left,191385,0.0,0.0,-0.01,0.03,0,0,0,0,0,0,0,0.0,0.01,0.0,0.0,0.0,-0.01,-0.02,0.0,0.0,2135,2101,0.0,0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.01,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,,-0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2169.0,2267.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.01,0.0,0.0,0.0,1335.0,1454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,2109.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
